"","blue","dual_sim","four_g","three_g","touch_screen","wifi","battery_power","clock_speed","fc","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","sc_h","sc_w","talk_time","price_range"
"49","1","1","1","1","0","1","[500,601]","(2.5,3]","[-0.019,3.8]","(51.6,57.8]","[0.0991,0.28]","(152,164]","(6.25,8.01]","(4,8]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(1e+03,1.38e+03]","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","0"
"57","1","1","0","1","1","1","(800,900]","(2.5,3]","(11.4,15.2]","(57.8,64.1]","(0.46,0.64]","(140,152]","(6.25,8.01]","(16,20]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(630,1e+03]","(13.4,16.2]","(10.8,14.4]","(14,17]","0"
"62","1","0","1","1","1","1","(701,800]","(2,2.5]","[-0.019,3.8]","(57.8,64.1]","(0.64,0.82]","(140,152]","(6.25,8.01]","(4,8]","[-1.96,392]","(949,1.1e+03]","[252,630]","(13.4,16.2]","(3.6,7.2]","(5,8]","0"
"63","1","1","1","1","1","0","(1.1e+03,1.2e+03]","(1,1.5]","[-0.019,3.8]","(45.4,51.6]","(0.64,0.82]","(152,164]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","[499,650]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(14,17]","0"
"69","0","1","0","1","0","1","(1.2e+03,1.3e+03]","(1,1.5]","[-0.019,3.8]","(8.2,14.4]","(0.46,0.64]","(164,176]","[0.993,2.75]","[-0.02,4]","(392,784]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","(10.6,13.4]","[-0.018,3.6]","[1.98,5]","0"
"73","0","0","1","1","0","0","(601,701]","[0.497,1]","(7.6,11.4]","(8.2,14.4]","[0.0991,0.28]","(140,152]","(2.75,4.5]","(12,16]","[-1.96,392]","(949,1.1e+03]","[252,630]","(13.4,16.2]","(3.6,7.2]","[1.98,5]","0"
"75","1","1","0","0","1","0","(701,800]","(2.5,3]","(3.8,7.6]","(33,39.2]","(0.46,0.64]","[79.9,92]","(2.75,4.5]","(4,8]","(392,784]","(1.4e+03,1.55e+03]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(5,8]","0"
"77","0","0","1","1","1","0","(1.1e+03,1.2e+03]","(2.5,3]","(3.8,7.6]","(8.2,14.4]","(0.28,0.46]","(188,200]","(2.75,4.5]","(12,16]","(784,1.18e+03]","(949,1.1e+03]","(630,1e+03]","(7.8,10.6]","(3.6,7.2]","(14,17]","0"
"78","1","1","0","0","0","1","(1.2e+03,1.3e+03]","(1.5,2]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(164,176]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(650,800]","(1.38e+03,1.75e+03]","(10.6,13.4]","(3.6,7.2]","(5,8]","0"
"87","1","1","0","0","1","1","(1.4e+03,1.5e+03]","(1.5,2]","(3.8,7.6]","(39.2,45.4]","(0.46,0.64]","(176,188]","(4.5,6.25]","(4,8]","[-1.96,392]","(650,800]","(630,1e+03]","(13.4,16.2]","[-0.018,3.6]","(5,8]","0"
"93","0","1","1","1","1","1","(800,900]","(2,2.5]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(92,104]","(6.25,8.01]","[-0.02,4]","(392,784]","(800,949]","(1.38e+03,1.75e+03]","(13.4,16.2]","(7.2,10.8]","[1.98,5]","0"
"94","1","0","1","1","0","1","(800,900]","(2,2.5]","(7.6,11.4]","(8.2,14.4]","(0.64,0.82]","[79.9,92]","(4.5,6.25]","(12,16]","(392,784]","(1.1e+03,1.25e+03]","[252,630]","(13.4,16.2]","(7.2,10.8]","[1.98,5]","0"
"97","0","0","1","1","1","0","(1.3e+03,1.4e+03]","(2,2.5]","(7.6,11.4]","(20.6,26.8]","[0.0991,0.28]","(128,140]","(4.5,6.25]","(12,16]","(392,784]","(800,949]","(630,1e+03]","(16.2,19]","(3.6,7.2]","(5,8]","0"
"99","0","0","0","0","1","0","(601,701]","(2,2.5]","[-0.019,3.8]","(33,39.2]","(0.64,0.82]","(140,152]","[0.993,2.75]","[-0.02,4]","(392,784]","(949,1.1e+03]","(1.38e+03,1.75e+03]","(13.4,16.2]","[-0.018,3.6]","(17,20]","0"
"104","1","1","1","1","1","0","(1.9e+03,2e+03]","(2.5,3]","[-0.019,3.8]","(51.6,57.8]","(0.46,0.64]","(188,200]","(2.75,4.5]","(8,12]","[-1.96,392]","[499,650]","(1e+03,1.38e+03]","(13.4,16.2]","(7.2,10.8]","(17,20]","0"
"105","0","1","1","1","1","1","[500,601]","(2,2.5]","[-0.019,3.8]","[1.94,8.2]","(0.46,0.64]","(116,128]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(800,949]","(1e+03,1.38e+03]","(10.6,13.4]","(3.6,7.2]","(5,8]","0"
"113","0","1","1","1","1","0","(800,900]","(1,1.5]","[-0.019,3.8]","[1.94,8.2]","(0.64,0.82]","(128,140]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(1.85e+03,2e+03]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","[1.98,5]","0"
"119","0","1","0","0","1","0","(1.3e+03,1.4e+03]","(1,1.5]","(7.6,11.4]","(45.4,51.6]","(0.82,1]","(188,200]","[0.993,2.75]","(8,12]","[-1.96,392]","(949,1.1e+03]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(8,11]","0"
"130","0","0","1","1","1","0","(1.5e+03,1.6e+03]","(1,1.5]","[-0.019,3.8]","(14.4,20.6]","[0.0991,0.28]","(92,104]","(4.5,6.25]","[-0.02,4]","(392,784]","(1.25e+03,1.4e+03]","(630,1e+03]","(10.6,13.4]","(7.2,10.8]","(11,14]","0"
"139","0","1","1","1","1","0","[500,601]","(2,2.5]","(11.4,15.2]","[1.94,8.2]","(0.28,0.46]","(176,188]","(6.25,8.01]","(12,16]","(1.18e+03,1.57e+03]","(1.4e+03,1.55e+03]","[252,630]","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0"
"140","0","1","0","0","1","0","[500,601]","(2.5,3]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(152,164]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(949,1.1e+03]","(1.38e+03,1.75e+03]","(7.8,10.6]","[-0.018,3.6]","(8,11]","0"
"142","0","1","1","1","0","0","(1.2e+03,1.3e+03]","(1.5,2]","[-0.019,3.8]","(8.2,14.4]","(0.46,0.64]","(140,152]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","[499,650]","[252,630]","(16.2,19]","[-0.018,3.6]","[1.98,5]","0"
"145","0","0","1","1","1","0","(1.6e+03,1.7e+03]","(2,2.5]","[-0.019,3.8]","(57.8,64.1]","(0.82,1]","(128,140]","(2.75,4.5]","(8,12]","(392,784]","[499,650]","[252,630]","(16.2,19]","[-0.018,3.6]","(8,11]","0"
"155","0","1","0","0","1","1","(1.5e+03,1.6e+03]","(2.5,3]","(3.8,7.6]","(39.2,45.4]","(0.64,0.82]","(164,176]","[0.993,2.75]","(4,8]","(392,784]","[499,650]","[252,630]","(10.6,13.4]","[-0.018,3.6]","[1.98,5]","0"
"157","0","0","1","1","0","1","(601,701]","(2,2.5]","[-0.019,3.8]","(57.8,64.1]","(0.64,0.82]","(92,104]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(1.85e+03,2e+03]","[252,630]","(16.2,19]","(3.6,7.2]","(5,8]","0"
"158","0","0","1","1","1","1","(1.2e+03,1.3e+03]","[0.497,1]","(15.2,19]","[1.94,8.2]","(0.28,0.46]","(104,116]","(4.5,6.25]","(16,20]","(392,784]","(800,949]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(8,11]","0"
"163","0","1","1","1","1","1","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","(0.46,0.64]","(116,128]","(4.5,6.25]","[-0.02,4]","(784,1.18e+03]","(1.25e+03,1.4e+03]","[252,630]","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","0"
"164","0","0","0","1","0","1","(1.1e+03,1.2e+03]","[0.497,1]","(7.6,11.4]","(20.6,26.8]","(0.46,0.64]","(164,176]","[0.993,2.75]","(16,20]","(392,784]","(1.7e+03,1.85e+03]","[252,630]","(16.2,19]","(10.8,14.4]","[1.98,5]","0"
"177","0","0","0","0","0","1","(601,701]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.64,0.82]","(92,104]","(6.25,8.01]","(8,12]","(392,784]","[499,650]","(630,1e+03]","(13.4,16.2]","(7.2,10.8]","[1.98,5]","0"
"181","1","0","1","1","0","0","(701,800]","(2.5,3]","(11.4,15.2]","(26.8,33]","(0.28,0.46]","(104,116]","[0.993,2.75]","(16,20]","[-1.96,392]","(949,1.1e+03]","(1.38e+03,1.75e+03]","(13.4,16.2]","(3.6,7.2]","(5,8]","0"
"182","1","0","0","1","0","0","(1.1e+03,1.2e+03]","(2,2.5]","(7.6,11.4]","(39.2,45.4]","[0.0991,0.28]","(176,188]","(4.5,6.25]","(8,12]","(392,784]","(800,949]","(630,1e+03]","(16.2,19]","(10.8,14.4]","(14,17]","0"
"186","1","1","1","1","1","0","(1.3e+03,1.4e+03]","(2,2.5]","[-0.019,3.8]","[1.94,8.2]","(0.64,0.82]","[79.9,92]","(2.75,4.5]","(12,16]","(392,784]","[499,650]","(630,1e+03]","(10.6,13.4]","[-0.018,3.6]","(14,17]","0"
"201","1","0","1","1","0","1","(1.7e+03,1.8e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.46,0.64]","(188,200]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","[4.99,7.8]","(3.6,7.2]","(11,14]","0"
"203","0","0","1","1","0","1","(1e+03,1.1e+03]","(1,1.5]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(164,176]","(2.75,4.5]","(8,12]","[-1.96,392]","[499,650]","(630,1e+03]","(13.4,16.2]","(3.6,7.2]","(5,8]","0"
"213","1","0","0","0","0","0","(1e+03,1.1e+03]","(2,2.5]","(7.6,11.4]","(57.8,64.1]","(0.46,0.64]","(128,140]","(4.5,6.25]","(16,20]","[-1.96,392]","(949,1.1e+03]","(1e+03,1.38e+03]","(10.6,13.4]","[-0.018,3.6]","(11,14]","0"
"215","0","1","1","1","1","0","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","(0.28,0.46]","[79.9,92]","[0.993,2.75]","[-0.02,4]","(1.18e+03,1.57e+03]","(1.1e+03,1.25e+03]","(630,1e+03]","(7.8,10.6]","(3.6,7.2]","(8,11]","0"
"217","0","1","1","1","0","1","(1.1e+03,1.2e+03]","(1,1.5]","[-0.019,3.8]","(45.4,51.6]","[0.0991,0.28]","(176,188]","(6.25,8.01]","[-0.02,4]","(392,784]","(1.4e+03,1.55e+03]","(630,1e+03]","[4.99,7.8]","[-0.018,3.6]","(5,8]","0"
"221","1","1","1","1","0","1","(800,900]","(1.5,2]","(3.8,7.6]","(26.8,33]","(0.46,0.64]","(128,140]","(4.5,6.25]","(16,20]","(392,784]","[499,650]","[252,630]","(16.2,19]","(14.4,18]","(8,11]","0"
"222","0","0","1","1","1","1","(601,701]","[0.497,1]","(3.8,7.6]","(39.2,45.4]","(0.46,0.64]","(104,116]","[0.993,2.75]","(8,12]","[-1.96,392]","(1.1e+03,1.25e+03]","[252,630]","[4.99,7.8]","(3.6,7.2]","(17,20]","0"
"233","0","1","1","1","0","0","(1.7e+03,1.8e+03]","[0.497,1]","(3.8,7.6]","(26.8,33]","(0.46,0.64]","[79.9,92]","(6.25,8.01]","(16,20]","(392,784]","(1.55e+03,1.7e+03]","[252,630]","(16.2,19]","(3.6,7.2]","(11,14]","0"
"236","1","0","1","1","1","0","(1.5e+03,1.6e+03]","(1.5,2]","(3.8,7.6]","(8.2,14.4]","[0.0991,0.28]","(128,140]","[0.993,2.75]","(4,8]","[-1.96,392]","(1.55e+03,1.7e+03]","(630,1e+03]","(16.2,19]","(7.2,10.8]","(17,20]","0"
"240","1","0","0","1","1","1","(1.8e+03,1.9e+03]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","(0.28,0.46]","(104,116]","(2.75,4.5]","[-0.02,4]","(392,784]","(1.25e+03,1.4e+03]","(630,1e+03]","(10.6,13.4]","[-0.018,3.6]","(8,11]","0"
"247","1","1","0","0","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.28,0.46]","(164,176]","[0.993,2.75]","(12,16]","(784,1.18e+03]","(1.7e+03,1.85e+03]","[252,630]","(13.4,16.2]","[-0.018,3.6]","(8,11]","0"
"250","1","1","1","1","0","0","(1.6e+03,1.7e+03]","(1,1.5]","[-0.019,3.8]","(26.8,33]","(0.64,0.82]","(104,116]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(949,1.1e+03]","(630,1e+03]","(7.8,10.6]","[-0.018,3.6]","(8,11]","0"
"254","0","1","0","1","1","1","(800,900]","(1,1.5]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","(92,104]","(2.75,4.5]","(4,8]","[-1.96,392]","(1.55e+03,1.7e+03]","(1e+03,1.38e+03]","(10.6,13.4]","(3.6,7.2]","(14,17]","0"
"255","1","1","0","0","0","0","(1.4e+03,1.5e+03]","(2.5,3]","(7.6,11.4]","(14.4,20.6]","(0.46,0.64]","(128,140]","[0.993,2.75]","(16,20]","(392,784]","(1.85e+03,2e+03]","[252,630]","(13.4,16.2]","(7.2,10.8]","(11,14]","0"
"257","1","0","1","1","1","1","(601,701]","(1,1.5]","(3.8,7.6]","[1.94,8.2]","[0.0991,0.28]","(152,164]","(2.75,4.5]","(12,16]","[-1.96,392]","(650,800]","[252,630]","(10.6,13.4]","(7.2,10.8]","(8,11]","0"
"259","0","1","1","1","1","0","[500,601]","(1.5,2]","[-0.019,3.8]","(45.4,51.6]","(0.46,0.64]","(164,176]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(1.85e+03,2e+03]","(1e+03,1.38e+03]","(13.4,16.2]","(7.2,10.8]","(14,17]","0"
"263","1","0","1","1","0","0","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","(0.46,0.64]","(188,200]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(949,1.1e+03]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(5,8]","0"
"264","0","0","0","0","1","0","(701,800]","(1,1.5]","(3.8,7.6]","(26.8,33]","(0.64,0.82]","(164,176]","(2.75,4.5]","(8,12]","[-1.96,392]","(1.4e+03,1.55e+03]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(14,17]","0"
"271","0","0","1","1","1","0","(1e+03,1.1e+03]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","(0.82,1]","(104,116]","(6.25,8.01]","(16,20]","(1.18e+03,1.57e+03]","(1.55e+03,1.7e+03]","[252,630]","(16.2,19]","(10.8,14.4]","(5,8]","0"
"272","0","1","1","1","1","1","(701,800]","(2,2.5]","[-0.019,3.8]","[1.94,8.2]","[0.0991,0.28]","[79.9,92]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","(16.2,19]","(14.4,18]","[1.98,5]","0"
"279","0","0","1","1","0","1","[500,601]","[0.497,1]","(11.4,15.2]","[1.94,8.2]","(0.64,0.82]","(176,188]","(6.25,8.01]","(12,16]","[-1.96,392]","(650,800]","[252,630]","(7.8,10.6]","(3.6,7.2]","(8,11]","0"
"280","1","0","0","0","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(33,39.2]","(0.28,0.46]","(176,188]","(6.25,8.01]","[-0.02,4]","(392,784]","(800,949]","[252,630]","(10.6,13.4]","(7.2,10.8]","(8,11]","0"
"295","0","1","1","1","1","0","(800,900]","(1.5,2]","[-0.019,3.8]","(33,39.2]","(0.28,0.46]","(104,116]","(4.5,6.25]","(4,8]","[-1.96,392]","(1.25e+03,1.4e+03]","[252,630]","(13.4,16.2]","(10.8,14.4]","(11,14]","0"
"299","1","1","0","0","1","0","(900,1e+03]","[0.497,1]","(7.6,11.4]","(51.6,57.8]","(0.64,0.82]","[79.9,92]","(6.25,8.01]","(12,16]","[-1.96,392]","(1.1e+03,1.25e+03]","(630,1e+03]","(16.2,19]","(7.2,10.8]","[1.98,5]","0"
"302","1","1","0","0","1","1","(900,1e+03]","(1,1.5]","[-0.019,3.8]","(51.6,57.8]","(0.46,0.64]","(176,188]","(4.5,6.25]","(4,8]","[-1.96,392]","[499,650]","(1e+03,1.38e+03]","[4.99,7.8]","[-0.018,3.6]","(5,8]","0"
"303","1","0","1","1","0","1","(701,800]","[0.497,1]","(15.2,19]","(51.6,57.8]","[0.0991,0.28]","(104,116]","[0.993,2.75]","(16,20]","(392,784]","[499,650]","(630,1e+03]","(16.2,19]","[-0.018,3.6]","(14,17]","0"
"305","0","0","1","1","0","0","(1.1e+03,1.2e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.28,0.46]","(188,200]","[0.993,2.75]","(4,8]","[-1.96,392]","(800,949]","[252,630]","(16.2,19]","(3.6,7.2]","(17,20]","0"
"309","0","0","0","0","0","1","(1.5e+03,1.6e+03]","(1.5,2]","(7.6,11.4]","(39.2,45.4]","(0.64,0.82]","(176,188]","(4.5,6.25]","(12,16]","(392,784]","(1.85e+03,2e+03]","(630,1e+03]","(10.6,13.4]","(7.2,10.8]","(17,20]","0"
"314","0","0","1","1","1","0","(601,701]","(1,1.5]","(3.8,7.6]","(39.2,45.4]","(0.64,0.82]","(176,188]","(6.25,8.01]","(16,20]","(392,784]","(1.1e+03,1.25e+03]","(630,1e+03]","(16.2,19]","[-0.018,3.6]","(11,14]","0"
"318","1","0","1","1","0","1","(1.1e+03,1.2e+03]","[0.497,1]","(3.8,7.6]","(8.2,14.4]","(0.28,0.46]","(188,200]","[0.993,2.75]","(12,16]","(392,784]","(650,800]","(630,1e+03]","(16.2,19]","(3.6,7.2]","(17,20]","0"
"319","0","0","1","1","0","0","[500,601]","[0.497,1]","(3.8,7.6]","(39.2,45.4]","(0.28,0.46]","(92,104]","[0.993,2.75]","(4,8]","[-1.96,392]","[499,650]","(630,1e+03]","(10.6,13.4]","(10.8,14.4]","(5,8]","0"
"321","0","1","1","1","1","0","(701,800]","(1.5,2]","[-0.019,3.8]","[1.94,8.2]","(0.46,0.64]","(92,104]","[0.993,2.75]","(16,20]","(392,784]","(650,800]","(630,1e+03]","(13.4,16.2]","[-0.018,3.6]","[1.98,5]","0"
"324","1","1","1","1","1","0","(1.3e+03,1.4e+03]","(2,2.5]","(11.4,15.2]","(57.8,64.1]","(0.82,1]","[79.9,92]","[0.993,2.75]","(16,20]","[-1.96,392]","(1.25e+03,1.4e+03]","(630,1e+03]","(7.8,10.6]","(3.6,7.2]","(5,8]","0"
"325","0","0","1","1","0","1","(1.6e+03,1.7e+03]","(2,2.5]","(3.8,7.6]","(14.4,20.6]","(0.82,1]","(152,164]","(4.5,6.25]","(16,20]","[-1.96,392]","(949,1.1e+03]","(630,1e+03]","(10.6,13.4]","[-0.018,3.6]","(11,14]","0"
"326","0","1","0","0","1","1","(900,1e+03]","(2,2.5]","(3.8,7.6]","(20.6,26.8]","(0.28,0.46]","(104,116]","(6.25,8.01]","(12,16]","[-1.96,392]","(949,1.1e+03]","(630,1e+03]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","0"
"338","0","0","1","1","1","0","(601,701]","(2,2.5]","[-0.019,3.8]","(45.4,51.6]","(0.28,0.46]","(104,116]","[0.993,2.75]","(16,20]","[-1.96,392]","(1.25e+03,1.4e+03]","(1e+03,1.38e+03]","(13.4,16.2]","(10.8,14.4]","[1.98,5]","0"
"345","0","0","0","0","0","1","(601,701]","(2,2.5]","[-0.019,3.8]","[1.94,8.2]","(0.28,0.46]","[79.9,92]","[0.993,2.75]","[-0.02,4]","(1.18e+03,1.57e+03]","(1.55e+03,1.7e+03]","(1e+03,1.38e+03]","(10.6,13.4]","(7.2,10.8]","(14,17]","0"
"353","1","0","0","0","1","1","(1.6e+03,1.7e+03]","(1.5,2]","[-0.019,3.8]","(26.8,33]","(0.82,1]","(188,200]","(6.25,8.01]","(4,8]","[-1.96,392]","(800,949]","(630,1e+03]","(10.6,13.4]","(7.2,10.8]","(11,14]","0"
"358","0","1","1","1","0","1","(800,900]","(1.5,2]","[-0.019,3.8]","(45.4,51.6]","(0.46,0.64]","(188,200]","(6.25,8.01]","[-0.02,4]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(630,1e+03]","(13.4,16.2]","(7.2,10.8]","(5,8]","0"
"359","1","1","1","1","1","0","(1.3e+03,1.4e+03]","[0.497,1]","(7.6,11.4]","(57.8,64.1]","(0.28,0.46]","(164,176]","(4.5,6.25]","(12,16]","(784,1.18e+03]","(1.55e+03,1.7e+03]","[252,630]","(10.6,13.4]","[-0.018,3.6]","(17,20]","0"
"362","0","1","1","1","1","0","(800,900]","[0.497,1]","(11.4,15.2]","(51.6,57.8]","(0.82,1]","(164,176]","[0.993,2.75]","(16,20]","(784,1.18e+03]","(1.25e+03,1.4e+03]","[252,630]","(10.6,13.4]","[-0.018,3.6]","(5,8]","0"
"365","1","0","0","0","1","0","(900,1e+03]","(2.5,3]","[-0.019,3.8]","(33,39.2]","(0.28,0.46]","(188,200]","(2.75,4.5]","(8,12]","[-1.96,392]","(949,1.1e+03]","(1.38e+03,1.75e+03]","(10.6,13.4]","[-0.018,3.6]","(11,14]","0"
"366","0","1","1","1","1","0","(701,800]","(1.5,2]","(7.6,11.4]","[1.94,8.2]","(0.46,0.64]","[79.9,92]","(6.25,8.01]","(12,16]","(784,1.18e+03]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","[4.99,7.8]","(3.6,7.2]","(5,8]","0"
"374","1","1","0","0","1","0","(1e+03,1.1e+03]","(1.5,2]","[-0.019,3.8]","(57.8,64.1]","(0.46,0.64]","(128,140]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(650,800]","(630,1e+03]","(10.6,13.4]","(7.2,10.8]","(14,17]","0"
"377","1","0","0","1","0","1","(1.9e+03,2e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","(140,152]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(800,949]","[252,630]","(10.6,13.4]","(10.8,14.4]","[1.98,5]","0"
"379","0","0","0","0","0","1","(1e+03,1.1e+03]","(1,1.5]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(164,176]","(2.75,4.5]","(12,16]","(392,784]","(1.1e+03,1.25e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","(14,17]","0"
"398","1","1","0","1","1","0","(800,900]","(1.5,2]","[-0.019,3.8]","(26.8,33]","(0.64,0.82]","(164,176]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(1.25e+03,1.4e+03]","(1.38e+03,1.75e+03]","(10.6,13.4]","[-0.018,3.6]","(5,8]","0"
"408","1","1","1","1","0","0","(601,701]","(2,2.5]","(7.6,11.4]","(14.4,20.6]","(0.64,0.82]","(164,176]","(4.5,6.25]","(8,12]","[-1.96,392]","[499,650]","(1.75e+03,2.13e+03]","(10.6,13.4]","(7.2,10.8]","(11,14]","0"
"411","1","1","1","1","1","1","(1e+03,1.1e+03]","(1.5,2]","(3.8,7.6]","[1.94,8.2]","[0.0991,0.28]","(164,176]","(4.5,6.25]","(4,8]","[-1.96,392]","(949,1.1e+03]","[252,630]","(13.4,16.2]","(3.6,7.2]","[1.98,5]","0"
"420","1","0","0","1","1","0","(900,1e+03]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","(0.64,0.82]","(92,104]","[0.993,2.75]","(8,12]","[-1.96,392]","(1.4e+03,1.55e+03]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","[1.98,5]","0"
"424","1","0","0","0","1","1","(1.6e+03,1.7e+03]","(2,2.5]","[-0.019,3.8]","(8.2,14.4]","(0.28,0.46]","(152,164]","[0.993,2.75]","(12,16]","[-1.96,392]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","(10.6,13.4]","(3.6,7.2]","(14,17]","0"
"427","1","1","0","1","1","1","(1.1e+03,1.2e+03]","(2,2.5]","(7.6,11.4]","(45.4,51.6]","(0.28,0.46]","(176,188]","(4.5,6.25]","(8,12]","(1.18e+03,1.57e+03]","(1.4e+03,1.55e+03]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(17,20]","0"
